1;743;Mise en comformité chemin Michel;872;2005-06-02T21:59:22.538Z;2005-06-06T20:32:04.505Z;2005-06-08T06:28:10.538Z
2;42;Rénovation avenue Pichon;587;2005-06-05T01:37:33.194Z;2005-06-13T10:11:13.370Z;2005-06-13T12:33:57.194Z
3;502;Construction avenue Parent;760;2014-03-27T11:01:10.366Z;2014-03-28T04:05:34.057Z;2014-03-31T20:52:10.366Z
4;622;Rénovation boulevard Guillot;902;2008-02-13T21:51:53.011Z;2008-02-16T08:04:29.376Z;2008-02-23T18:01:11.011Z
5;952;Rénovation rue Gaillard;305;2011-05-18T19:50:44.144Z;2011-05-21T16:08:58.907Z;2011-05-23T18:28:14.144Z
6;173;Plan d'équipement rue Leclercq;229;2012-05-03T14:55:36.770Z;2012-05-06T20:33:57.275Z;2012-05-16T14:16:18.770Z
7;359;Mise au normes rue Neveu;252;2005-03-11T19:24:13.332Z;2005-03-14T19:34:20.811Z;2005-03-15T08:48:49.332Z
8;698;Construction rue Guillaume;140;2012-07-24T17:32:12.516Z;2012-07-27T07:58:07.576Z;2012-08-06T07:01:36.516Z
9;939;Chantier boulevard Adam;666;2010-04-21T04:51:39.267Z;2010-04-23T01:46:58.169Z;2010-04-24T17:54:21.267Z
10;913;Chantier avenue Dubois;465;2006-10-27T09:22:46.531Z;2006-11-01T06:54:40.335Z;2006-11-05T04:42:52.531Z
11;815;Solution d'équipement rue Jean;616;2012-04-26T11:47:39.194Z;2012-04-30T00:54:11.964Z;2012-04-30T20:11:03.194Z
12;958;Construction rue Da Costa;634;2013-02-08T11:53:48.583Z;2013-02-10T05:50:55.129Z;2013-02-11T07:25:18.583Z
13;377;Construction avenue Turpin;822;2008-04-16T00:52:26.580Z;2008-04-21T23:08:15.112Z;2008-04-23T10:37:44.580Z
14;279;Rénovation boulevard Blanc;659;2012-11-08T14:10:44.364Z;2012-11-15T18:08:50.647Z;2012-11-20T17:26:56.364Z
15;696;Chantier boulevard Faure;653;2008-07-03T05:45:17.849Z;2008-07-05T04:20:27.421Z;2008-07-10T03:05:59.849Z
16;174;Installation chemin Bernard;748;2005-07-15T01:45:33.769Z;2005-07-19T22:24:11.645Z;2005-07-24T21:32:57.769Z
17;633;Rénovation rue Brun;483;2007-06-06T06:06:27.216Z;2007-06-08T09:11:51.021Z;2007-06-08T13:35:15.216Z
18;684;Plan d'équipement avenue Schmitt;979;2006-06-16T21:05:03.528Z;2006-06-18T00:40:17.778Z;2006-06-28T06:06:15.528Z
19;302;Installation chemin Aubry;421;2011-04-02T10:04:25.234Z;2011-04-02T10:22:21.805Z;2011-04-04T14:38:01.234Z
20;623;Mise en comformité rue Aubert;851;2013-12-30T17:58:03.154Z;2014-01-02T03:00:17.479Z;2014-01-06T08:00:45.154Z
21;334;Ravallement chemin Gillet;158;2009-02-05T14:29:06.087Z;2009-02-07T06:21:50.580Z;2009-02-11T22:41:24.087Z
22;505;Plan d'équipement boulevard Adam;564;2005-09-08T08:26:25.116Z;2005-09-13T07:16:56.256Z;2005-09-14T16:16:49.116Z
23;172;Suite de l'installation rue Guillou;140;2005-10-21T08:32:24.574Z;2005-11-01T20:28:59.480Z;2005-11-04T06:30:54.574Z
24;75;Suite de l'installation avenue Parent;838;2007-08-15T18:09:18.201Z;2007-08-17T04:20:34.628Z;2007-08-18T19:53:06.201Z
25;939;Mise en comformité rue Morel;854;2010-09-05T07:13:10.004Z;2010-09-08T08:13:02.176Z;2010-09-16T16:36:16.004Z
26;122;Rénovation rue Samson;356;2010-09-02T01:55:33.677Z;2010-09-12T15:23:51.624Z;2010-09-16T07:12:03.677Z
27;24;Rénovation boulevard Denis;902;2007-02-24T20:50:59.179Z;2007-02-25T00:00:35.483Z;2007-03-11T15:37:47.179Z
28;616;Chantier boulevard Gilles;768;2008-03-05T16:38:41.197Z;2008-03-08T05:35:13.478Z;2008-03-19T01:06:53.197Z
29;599;Solution d'équipement chemin Nicolas;372;2009-11-06T15:50:55.760Z;2009-11-06T17:59:01.609Z;2009-11-06T18:46:07.760Z
30;998;Ravallement rue Verdier;258;2011-02-02T15:22:38.018Z;2011-02-08T22:48:06.254Z;2011-02-12T14:27:08.018Z
31;104;Mise au normes chemin Roussel;574;2009-03-18T04:34:10.146Z;2009-03-19T12:13:13.300Z;2009-03-19T15:36:34.146Z
32;906;Plan d'équipement chemin Raymond;534;2011-01-08T22:50:17.316Z;2011-01-16T08:23:29.889Z;2011-01-22T17:09:47.316Z
33;392;Construction rue Lambert;230;2007-06-21T16:01:13.867Z;2007-06-25T11:36:40.168Z;2007-07-02T15:11:07.867Z
34;390;Installation chemin Leconte;930;2012-06-21T06:58:25.216Z;2012-06-25T05:15:42.354Z;2012-07-01T18:27:31.216Z
35;714;Construction boulevard Laine;472;2007-11-21T23:14:26.111Z;2007-11-22T12:37:14.585Z;2007-11-22T20:24:38.111Z
36;122;Nouvelle installation avenue Raymond;746;2013-09-23T12:37:28.184Z;2013-10-02T03:34:56.197Z;2013-10-04T07:46:28.184Z
37;834;Plan d'équipement boulevard Petitjean;528;2009-11-11T08:21:11.796Z;2009-11-16T18:17:56.752Z;2009-11-23T13:04:59.796Z
38;820;Rénovation avenue Leblanc;562;2011-03-04T07:38:55.732Z;2011-03-04T17:17:57.567Z;2011-03-08T22:14:37.732Z
39;981;Nouvelle installation rue Blondel;444;2010-10-25T12:46:26.688Z;2010-10-27T05:22:18.289Z;2010-11-01T17:03:14.688Z
40;103;Construction rue Langlois;355;2010-02-22T05:22:27.852Z;2010-02-23T23:50:20.961Z;2010-03-04T01:53:39.852Z
41;916;Suite de l'installation chemin Letellier;741;2006-06-06T10:20:42.528Z;2006-06-12T19:30:13.327Z;2006-06-13T05:08:06.528Z
42;956;Chantier boulevard Thomas;497;2010-12-06T23:29:10.198Z;2010-12-10T06:05:01.496Z;2010-12-16T14:53:46.198Z
43;361;Suite de l'installation chemin Garcia;958;2009-12-19T11:51:07.646Z;2009-12-20T14:33:53.270Z;2009-12-23T20:14:31.646Z
44;939;Ravallement chemin Perret;764;2013-09-21T03:18:40.684Z;2013-09-22T08:39:49.458Z;2013-09-29T08:46:34.684Z
45;965;Suite de l'installation boulevard Garcia;119;2009-09-03T05:08:52.172Z;2009-09-14T21:23:47.390Z;2009-09-15T06:13:40.172Z
46;151;Rénovation boulevard Allard;459;2011-10-18T17:43:21.319Z;2011-10-18T19:37:00.141Z;2011-10-22T02:01:21.319Z
47;914;Suite de l'installation rue Renaud;878;2012-01-30T05:07:49.415Z;2012-02-06T18:59:22.301Z;2012-02-10T03:12:01.415Z
48;494;Rénovation chemin Raynaud;557;2010-08-23T04:44:05.823Z;2010-08-23T07:54:58.972Z;2010-08-31T16:02:23.823Z
49;740;Nouvelle installation chemin Bonnin;176;2013-09-03T12:24:33.396Z;2013-09-03T12:31:41.461Z;2013-09-03T12:46:27.396Z
50;13;Rénovation boulevard Descamps;350;2011-08-15T03:38:01.176Z;2011-08-17T17:08:05.868Z;2011-08-24T02:37:07.176Z
51;537;Chantier chemin Lefort;351;2005-06-20T22:55:53.317Z;2005-06-23T02:14:04.870Z;2005-06-23T22:50:11.317Z
52;243;Ravallement rue Hebert;329;2006-11-11T07:05:50.895Z;2006-11-22T22:23:02.902Z;2006-11-23T16:12:26.895Z
53;863;Chantier boulevard Bourgeois;750;2005-09-26T18:00:45.860Z;2005-09-26T20:28:59.108Z;2005-10-03T07:41:33.860Z
54;264;Rénovation rue Carre;717;2011-07-20T03:49:06.017Z;2011-07-21T09:37:27.609Z;2011-07-23T04:49:06.017Z
55;296;Mise au normes avenue Thierry;524;2011-09-19T09:20:52.916Z;2011-09-30T10:12:16.589Z;2011-09-30T20:11:34.916Z
56;256;Ravallement chemin Etienne;842;2007-04-10T17:29:20.643Z;2007-04-15T08:27:27.539Z;2007-04-21T05:42:14.643Z
57;435;Chantier avenue Antoine;762;2010-08-04T11:34:56.682Z;2010-08-08T02:26:21.545Z;2010-08-13T03:59:50.682Z
58;658;Nouvelle installation rue Legendre;836;2007-01-25T10:11:58.813Z;2007-02-04T16:53:29.358Z;2007-02-08T15:50:22.813Z
59;775;Construction rue Delaunay;351;2012-02-24T12:09:25.162Z;2012-02-25T10:28:27.916Z;2012-03-02T02:12:07.162Z
60;520;Rénovation avenue Marchal;384;2013-01-05T23:54:59.384Z;2013-01-12T18:32:07.133Z;2013-01-20T00:04:53.384Z
61;723;Installation avenue Collet;484;2009-01-23T15:39:19.962Z;2009-01-31T16:34:39.938Z;2009-02-03T06:03:37.962Z
62;178;Rénovation rue Leveque;860;2005-03-21T16:14:57.154Z;2005-03-23T22:56:03.060Z;2005-03-24T04:50:21.154Z
63;379;Ravallement avenue Barthelemy;403;2005-03-31T06:49:58.009Z;2005-04-02T01:59:01.719Z;2005-04-08T02:04:40.009Z
64;965;Ravallement avenue Faivre;637;2007-05-30T23:25:19.105Z;2007-05-31T11:08:46.014Z;2007-06-01T16:40:01.105Z
65;86;Construction rue Mallet;464;2006-05-30T14:34:18.321Z;2006-06-08T16:54:08.958Z;2006-06-14T10:04:54.321Z
66;689;Solution d'équipement avenue Martinez;398;2005-10-29T14:54:58.660Z;2005-10-30T17:31:29.650Z;2005-11-04T07:03:40.660Z
67;653;Installation avenue Poirier;571;2013-09-04T05:51:57.773Z;2013-09-06T02:36:48.851Z;2013-09-07T01:23:27.773Z
68;965;Solution d'équipement avenue Simon;541;2010-01-22T18:40:18.029Z;2010-01-23T15:52:35.505Z;2010-01-24T10:05:30.029Z
69;141;Plan d'équipement rue Charpentier;829;2007-10-11T07:28:12.723Z;2007-10-13T16:39:08.126Z;2007-10-15T12:12:36.723Z
70;639;Mise en comformité rue Blot;383;2006-03-06T22:34:09.308Z;2006-03-08T00:09:32.493Z;2006-03-09T04:13:27.308Z
71;733;Construction chemin Collin;820;2012-11-04T06:39:16.009Z;2012-11-12T15:25:55.822Z;2012-11-17T11:50:22.009Z
72;262;Chantier rue Klein;950;2012-10-16T16:33:48.406Z;2012-10-22T23:48:22.064Z;2012-10-23T00:46:06.406Z
73;167;Solution d'équipement rue Mahe;844;2009-11-23T15:13:48.237Z;2009-11-29T18:27:56.637Z;2009-11-30T09:39:18.237Z
74;254;Chantier chemin Julien;804;2010-12-27T12:48:20.393Z;2010-12-30T22:11:54.257Z;2011-01-01T12:31:32.393Z
75;171;Plan d'équipement rue Pichon;969;2010-12-11T14:49:09.744Z;2010-12-18T19:35:39.985Z;2010-12-24T21:49:45.744Z
76;272;Chantier avenue Couturier;268;2011-03-14T08:18:38.917Z;2011-03-22T15:13:51.292Z;2011-03-24T06:39:20.917Z
77;494;Chantier boulevard Garcia;245;2012-08-17T06:44:26.659Z;2012-08-18T02:47:42.276Z;2012-08-25T19:08:26.659Z
78;506;Nouvelle installation avenue Meunier;590;2011-04-21T19:23:55.380Z;2011-04-22T09:25:14.428Z;2011-05-05T17:44:19.380Z
79;488;Chantier chemin Girard;835;2007-07-10T21:32:37.623Z;2007-07-12T21:03:47.792Z;2007-07-14T10:57:13.623Z
